Locus Tag	Half Life combined fit	stdev_half_life_ABC
SYNPCC7002_A0267	0.555	0.126
SYNPCC7002_A1787	0.555	0.189
SYNPCC7002_A0189	0.556	0.759
SYNPCC7002_A2145	0.556	0.053
SYNPCC7002_A1755	0.556	0.180
SYNPCC7002_A1407	0.556	0.033
SYNPCC7002_A0130	0.557	0.122
SYNPCC7002_A0746	0.557	0.262
SYNPCC7002_A0101	0.557	0.414
SYNPCC7002_A0264	0.557	0.105
SYNPCC7002_A0552	0.558	0.876
SYNPCC7002_A2441	0.559	0.098
SYNPCC7002_A1154	0.559	0.611
SYNPCC7002_A1120	0.559	0.693
SYNPCC7002_A1184	0.559	0.024
SYNPCC7002_F0003	0.559	0.155
SYNPCC7002_A0905	0.560	0.186
SYNPCC7002_A0938	0.560	0.684
SYNPCC7002_A1577	0.560	0.308
SYNPCC7002_A2365	0.560	0.169
SYNPCC7002_A2420	0.561	0.069
SYNPCC7002_A0094	0.561	0.189
SYNPCC7002_A0680	0.562	0.759
SYNPCC7002_A0011	0.562	0.243
SYNPCC7002_A1713	0.563	0.750
SYNPCC7002_A0560	0.563	0.082
SYNPCC7002_A1085	0.564	0.038
SYNPCC7002_A0770	0.564	0.128
SYNPCC7002_A1655	0.564	0.019
SYNPCC7002_A0488	0.565	0.031
SYNPCC7002_A0888	0.565	0.388
SYNPCC7002_A2637	0.565	0.235
SYNPCC7002_A1249	0.565	0.129
SYNPCC7002_D0011	0.565	0.704
SYNPCC7002_A0217	0.566	0.195
SYNPCC7002_A1743	0.566	1.076
SYNPCC7002_A1215	0.566	0.129
SYNPCC7002_A1746	0.567	0.089
SYNPCC7002_A1091	0.567	0.289
SYNPCC7002_A1096	0.567	0.077
SYNPCC7002_A0459	0.567	0.031
SYNPCC7002_A2320	0.567	0.080
SYNPCC7002_A2350	0.569	0.080
SYNPCC7002_F0081	0.570	0.188
SYNPCC7002_A2331	0.570	0.138
SYNPCC7002_A1408	0.571	0.393
SYNPCC7002_G0001	0.571	0.019
SYNPCC7002_A0553	0.571	0.336
SYNPCC7002_A1597	0.572	0.135
SYNPCC7002_A1072	0.572	0.082
SYNPCC7002_A2800	0.572	0.043
SYNPCC7002_A2706	0.572	0.059
SYNPCC7002_A2710	0.573	0.102
SYNPCC7002_A0720	0.573	0.777
SYNPCC7002_A1943	0.574	0.193
SYNPCC7002_A0800	0.574	0.080
SYNPCC7002_A2480	0.574	0.082
SYNPCC7002_A0946	0.575	0.190
SYNPCC7002_A0070	0.576	0.263
SYNPCC7002_C0017	0.576	0.198
SYNPCC7002_A1998	0.576	0.071
SYNPCC7002_A2636	0.576	0.416
SYNPCC7002_F0080	0.577	0.323
SYNPCC7002_A2222	0.577	0.010
SYNPCC7002_A0891	0.577	0.095
SYNPCC7002_A0149	0.578	0.248
SYNPCC7002_A0773	0.578	0.192
SYNPCC7002_A0312	0.578	0.257
SYNPCC7002_A0713	0.578	1.398
SYNPCC7002_F0082	0.579	0.632
SYNPCC7002_E0020	0.579	0.052
SYNPCC7002_A1709	0.579	0.242
SYNPCC7002_A1329	0.579	0.199
SYNPCC7002_A2433	0.580	0.289
SYNPCC7002_A2766	0.580	0.202
SYNPCC7002_A0561	0.580	0.079
SYNPCC7002_A1369	0.581	0.213
SYNPCC7002_G0052	0.581	0.072
SYNPCC7002_A1103	0.581	0.349
SYNPCC7002_D0026	0.582	0.055
SYNPCC7002_A0351	0.583	0.181
SYNPCC7002_A1153	0.583	0.205
SYNPCC7002_A2050	0.584	0.086
SYNPCC7002_A1487	0.585	0.350
SYNPCC7002_A0703	0.586	0.034
